Data da Compra;Descrição;Categoria;Fixo/Variável;Forma;Cartão;Nº parcela atual;Qtd parcelas;Pago?;Vencimento;Juros;Valor Parcela
23/02/2026;juros/IOF ou atraso da fatura anterior;Transporte;Variável;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 44,05
28/02/2026;Anuidade;Transporte;Variável;Cartão - crédito;BB;12;12;Sim;08/03/2026;R$ 0,00;R$ 88,00
19/11/2025;Revisão Carro;Transporte;Variável;Cartão - crédito;BB;5;5;Não;08/04/2026;R$ 0,00;R$ 252,00
01/01/2026;Psi Poli;Saúde;Fixo;Pix parcelado;BB;2;2;Não;08/04/2026;R$ 29,98;R$ 114,99
30/12/2025;Pneus;Transporte;Variável;Cartão - crédito;BB;3;12;Não;08/04/2026;R$ 0,00;R$ 117,33
30/12/2025;Shopee;Outros;Variável;Cartão - crédito;BB;2;2;Não;08/04/2026;R$ 0,00;R$ 65,76
31/12/2025;Lojas America;Outros;Variável;Cartão - crédito;BB;3;3;Não;08/04/2026;R$ 0,00;R$ 65,97
11/01/2026;Financimento Ape Caixa;Moradia;Fixo;Pix parcelado;BB;3;4;Não;08/04/2026;R$ 213,56;R$ 316,89
11/01/2026;MRV/99pay;Moradia;Fixo;Cartão - boleto;BB;3;3;Não;08/04/2026;R$ 69,82;R$ 197,71
27/01/2026;Pousada Superagui;Lazer;Variável;Pix parcelado;BB;2;3;Não;08/04/2026;R$ 47,91;R$ 115,97
28/01/2026;Gasolina;Transporte;Variável;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 252,39
28/01/2026;Almoço Curitiba Concurso;Alimentação;Variável;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 56,70
29/01/2026;Internet;Serviços;Fixo;Pix parcelado;BB;1;1;Sim;08/03/2026;R$ 3,57;R$ 75,20
30/01/2026;Biggs Rodízio;Lazer;Variável;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 120,00
31/01/2026;Gasolina;Transporte;Fixo;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 216,88
31/01/2026;Churrasco Su;Lazer;Variável;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 43,09
01/02/2026;Mercado;Alimentação;Fixo;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 51,82
01/02/2026;Agua de Coco lago;Lazer;Variável;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 12,00
02/02/2026;Gasolina;Transporte;Fixo;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 50,00
03/02/2026;Angeloni Mercado;Alimentação;Fixo;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 2,99
03/02/2026;Mercado;Alimentação;Fixo;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 178,06
04/02/2026;Gasolina;Transporte;Fixo;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 195,79
05/02/2026;Espetinho;Lazer;Variável;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 82,26
05/02/2026;Limpeza do carro;Transporte;Variável;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 80,00
05/02/2026;Tim;Assinaturas;Fixo;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 58,99
06/02/2026;Gasolina Guaratuba;Transporte;Variável;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 119,17
07/02/2026;Gasolina Guaratuba;Transporte;Variável;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 50,00
08/02/2026;Gasolina Guaratuba;Transporte;Variável;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 249,56
11/02/2026;Gasolina;Transporte;Fixo;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 232,94
13/02/2026;Financimanto Carro/99pay;Transporte;Fixo;Pix parcelado;BB;2;6;Não;"08/04/2026
F73=""Itaú""; IF(AND(MONTH(A73)=3; DAY(A73) > 4); DATE(2026; 4; 10); DATE(2026; 3; 10));
F73=""Samsung""; IF(AND(MONTH(A73)=3; DAY(A73) > 1); DATE(2026; 4; 9); DATE(2026; 3; 9));
F73=""BV""; IF(AND(MONTH(A73)=3; DAY(A73) > 3); DATE(2026; 4; 9); DATE(2026; 3; 9));
F73=""Nu""; IF(AND(MONTH(A73)=3; DAY(A73) > 3); DATE(2026; 4; 10); DATE(2026; 3; 10))
)";R$ 291,61;R$ 334,44
13/02/2026;Copel/99pay;Serviços;Fixo;Pix parcelado;BB;2;2;Não;"08/04/2026
F73=""Itaú""; IF(AND(MONTH(A73)=3; DAY(A73) > 4); DATE(2026; 4; 10); DATE(2026; 3; 10));
F73=""Samsung""; IF(AND(MONTH(A73)=3; DAY(A73) > 1); DATE(2026; 4; 9); DATE(2026; 3; 9));
F73=""BV""; IF(AND(MONTH(A73)=3; DAY(A73) > 3); DATE(2026; 4; 9); DATE(2026; 3; 9));
F73=""Nu""; IF(AND(MONTH(A73)=3; DAY(A73) > 3); DATE(2026; 4; 10); DATE(2026; 3; 10))
)";R$ 0,00;R$ 53,74
16/02/2026;Financimanto Ape/99pay;Moradia;Fixo;Pix parcelado;BB;2;2;Sim;08/03/2026;R$ 171,01;R$ 637,51
17/02/2026;Niver Carlinha;Lazer;Variável;Pix parcelado;BB;1;1;Sim;08/03/2026;R$ 1,89;R$ 39,89
17/02/2026;Coca Mercadinho Cond;Alimentação;Variável;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 14,99
18/02/2026;Corte Cabelo Lais;Serviços;Variável;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 30,00
18/02/2026;Bebida e Carne Niver Carlinha;Lazer;Variável;Cartão - crédito;BB;1;1;Sim;08/03/2026;R$ 0,00;R$ 51,47
26/02/2026;MRV;Moradia;Fixo;Pix parcelado;BB;1;1;Não;08/04/2026;R$ 0,00;R$ 555,00
26/02/2026;Mercadoo Pão de Alho;Alimentação;Fixo;Pix parcelado;BB;1;1;Não;08/04/2026;R$ 1,27;R$ 16,27
26/02/2026;Financimaneto Caixa;Moradia;Fixo;Pix parcelado;BB;1;3;Não;08/04/2026;R$ 197,31;R$ 430,77
26/02/2026;Financimaneto Carro;Transporte;Fixo;Pix parcelado;BB;1;6;Não;08/04/2026;R$ 439,74;R$ 359,12
28/02/2026;Mercado Golff;Alimentação;Fixo;Cartão - crédito;BB;1;1;Não;08/04/2026;R$ 0,00;R$ 12,97
28/02/2026;Mercado Golff;Alimentação;Fixo;Cartão - crédito;BB;1;1;Não;08/04/2026;R$ 0,00;R$ 38,50
27/02/2026;O Casarão;Lazer;Variável;Cartão - crédito;BB;1;1;Não;08/04/2026;R$ 0,00;R$ 26,77
27/02/2026;O Casarão - cidade Oferta;Lazer;Variável;Cartão - crédito;BB;1;1;Não;08/04/2026;R$ 0,00;R$ 34,90
27/02/2026;Drogarias Nissei - buscopan;Saúde;Variável;Cartão - crédito;BB;1;1;Não;08/04/2026;R$ 0,00;R$ 16,07
27/02/2026;Gasolina;Transporte;Fixo;Cartão - crédito;BB;1;1;Não;08/04/2026;R$ 0,00;R$ 75,00
